edge,label
"(0, 1)",0
"(0, 5)",0
"(0, 6)",0
"(0, 7)",1
"(0, 9)",1
"(0, 12)",0
"(0, 15)",0
"(0, 16)",1
"(0, 18)",1
"(0, 19)",0
"(0, 21)",0
"(0, 22)",0
"(0, 25)",1
"(0, 29)",0
"(0, 30)",1
"(0, 31)",0
"(0, 32)",0
"(0, 33)",1
"(0, 34)",0
"(0, 36)",1
"(0, 37)",1
"(0, 38)",1
"(0, 39)",1
"(0, 40)",0
"(0, 41)",0
"(0, 49)",1
"(0, 54)",0
"(0, 55)",1
"(0, 56)",0
"(0, 58)",0
"(0, 61)",1
"(0, 62)",0
"(0, 63)",1
"(0, 64)",0
"(0, 65)",0
"(0, 66)",0
"(0, 72)",1
"(0, 73)",0
"(0, 75)",1
"(0, 77)",1
"(0, 78)",1
"(0, 81)",0
"(0, 83)",1
"(0, 84)",0
"(0, 87)",0
"(0, 88)",1
"(0, 92)",1
"(0, 93)",1
"(0, 94)",1
"(0, 97)",0
"(0, 98)",1
"(0, 99)",0
"(0, 100)",1
"(0, 102)",0
"(0, 103)",1
"(0, 104)",1
"(0, 106)",1
"(0, 108)",1
"(0, 109)",1
"(0, 110)",0
"(0, 111)",0
"(0, 113)",0
"(0, 115)",1
"(0, 116)",0
"(0, 118)",1
"(0, 119)",1
"(0, 121)",1
"(0, 122)",1
"(0, 123)",0
"(0, 124)",1
"(0, 128)",1
"(0, 129)",1
"(0, 130)",1
"(0, 133)",0
"(0, 134)",0
"(0, 136)",1
"(0, 138)",0
"(0, 139)",0
"(0, 141)",1
"(0, 142)",0
"(0, 144)",1
"(0, 145)",1
"(0, 147)",0
"(0, 148)",1
"(0, 151)",1
"(0, 152)",1
"(0, 153)",0
"(0, 154)",1
"(0, 158)",1
"(0, 162)",1
"(0, 164)",0
"(0, 165)",1
"(0, 168)",1
"(0, 171)",0
"(0, 172)",1
"(0, 173)",0
"(0, 174)",1
"(0, 175)",1
"(0, 178)",1
"(0, 179)",1
"(0, 180)",1
"(0, 181)",1
"(0, 182)",0
"(0, 183)",0
"(0, 185)",1
"(0, 187)",0
"(0, 190)",1
"(0, 191)",0
"(0, 194)",0
"(0, 195)",1
"(0, 196)",1
"(0, 197)",1
"(0, 199)",1
"(0, 200)",1
"(0, 201)",0
"(0, 202)",0
"(0, 203)",0
"(0, 205)",1
"(0, 207)",1
"(0, 210)",0
"(0, 212)",1
"(0, 213)",1
"(0, 214)",1
"(0, 215)",0
"(0, 216)",1
"(0, 217)",1
"(0, 218)",0
"(0, 221)",1
"(0, 222)",0
"(0, 223)",0
"(0, 224)",1
"(0, 226)",0
"(0, 227)",0
"(0, 228)",1
"(0, 230)",0
"(0, 233)",0
"(0, 234)",0
"(0, 237)",0
"(0, 239)",0
"(0, 240)",1
"(0, 241)",1
"(0, 242)",1
"(0, 243)",0
"(0, 244)",1
"(0, 246)",0
"(0, 249)",1
"(0, 252)",0
"(0, 254)",0
"(1, 2)",0
"(1, 3)",0
"(1, 7)",0
"(1, 8)",0
"(1, 9)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",0
"(1, 15)",0
"(1, 16)",0
"(1, 18)",0
"(1, 20)",0
"(1, 21)",0
"(1, 25)",0
"(1, 27)",0
"(1, 28)",0
"(1, 30)",0
"(1, 32)",0
"(1, 33)",0
"(1, 34)",0
"(1, 36)",0
"(1, 39)",0
"(1, 40)",0
"(1, 42)",0
"(1, 43)",0
"(1, 44)",0
"(1, 47)",0
"(1, 48)",0
"(1, 49)",0
"(1, 50)",0
"(1, 51)",0
"(1, 55)",0
"(1, 56)",0
"(1, 57)",0
"(1, 58)",0
"(1, 62)",0
"(1, 63)",0
"(1, 64)",0
"(1, 65)",0
"(1, 67)",0
"(1, 68)",0
"(1, 69)",0
"(1, 70)",0
"(1, 71)",0
"(1, 73)",0
"(1, 75)",0
"(1, 76)",0
"(1, 77)",0
"(1, 78)",0
"(1, 80)",0
"(1, 82)",0
"(1, 83)",0
"(1, 85)",0
"(1, 86)",0
"(1, 88)",0
"(1, 93)",0
"(1, 94)",0
"(1, 96)",0
"(1, 98)",0
"(1, 99)",0
"(1, 100)",0
"(1, 102)",0
"(1, 104)",0
"(1, 107)",0
"(1, 108)",0
"(1, 110)",0
"(1, 111)",0
"(1, 113)",0
"(1, 115)",0
"(1, 117)",0
"(1, 118)",0
"(1, 119)",0
"(1, 120)",0
"(1, 121)",0
"(1, 124)",0
"(1, 127)",0
"(1, 128)",0
"(1, 131)",0
"(1, 132)",0
"(1, 135)",0
"(1, 136)",0
"(1, 137)",0
"(1, 138)",0
"(1, 139)",0
"(1, 141)",0
"(1, 144)",0
"(1, 145)",0
"(1, 146)",0
"(1, 147)",0
"(1, 148)",0
"(1, 150)",0
"(1, 151)",0
"(1, 152)",0
"(1, 155)",0
"(1, 156)",0
"(1, 158)",0
"(1, 159)",0
"(1, 160)",0
"(1, 165)",0
"(1, 166)",0
"(1, 168)",0
"(1, 169)",0
"(1, 171)",0
"(1, 172)",0
"(1, 174)",0
"(1, 176)",0
"(1, 177)",0
"(1, 179)",0
"(1, 181)",0
"(1, 182)",0
"(1, 185)",0
"(1, 186)",0
"(1, 187)",0
"(1, 188)",0
"(1, 189)",0
"(1, 190)",0
"(1, 191)",0
"(1, 192)",0
"(1, 193)",0
"(1, 194)",0
"(1, 195)",0
"(1, 196)",0
"(1, 197)",0
"(1, 198)",0
"(1, 199)",0
"(1, 200)",0
"(1, 203)",0
"(1, 204)",0
"(1, 205)",0
"(1, 206)",0
"(1, 212)",0
"(1, 215)",0
"(1, 216)",0
"(1, 218)",0
"(1, 219)",0
"(1, 220)",0
"(1, 222)",0
"(1, 223)",0
"(1, 224)",0
"(1, 225)",0
"(1, 226)",0
"(1, 227)",0
"(1, 231)",0
"(1, 232)",0
"(1, 233)",0
"(1, 234)",0
"(1, 235)",0
"(1, 236)",0
"(1, 237)",0
"(1, 240)",0
"(1, 243)",0
"(1, 244)",0
"(1, 246)",0
"(1, 248)",0
"(1, 251)",0
"(1, 253)",0
"(2, 3)",1
"(2, 8)",1
"(2, 10)",0
"(2, 11)",1
"(2, 15)",0
"(2, 16)",1
"(2, 18)",1
"(2, 19)",0
"(2, 20)",1
"(2, 21)",0
"(2, 22)",0
"(2, 27)",1
"(2, 28)",0
"(2, 30)",1
"(2, 31)",0
"(2, 33)",1
"(2, 34)",0
"(2, 36)",1
"(2, 37)",1
"(2, 41)",0
"(2, 42)",1
"(2, 44)",1
"(2, 46)",0
"(2, 47)",0
"(2, 49)",1
"(2, 50)",0
"(2, 51)",0
"(2, 53)",0
"(2, 54)",0
"(2, 56)",0
"(2, 58)",0
"(2, 60)",0
"(2, 61)",1
"(2, 63)",1
"(2, 64)",0
"(2, 65)",0
"(2, 66)",0
"(2, 67)",1
"(2, 68)",0
"(2, 69)",0
"(2, 71)",0
"(2, 72)",1
"(2, 73)",0
"(2, 74)",0
"(2, 75)",1
"(2, 77)",1
"(2, 78)",1
"(2, 80)",0
"(2, 82)",0
"(2, 83)",1
"(2, 86)",0
"(2, 89)",1
"(2, 91)",0
"(2, 92)",1
"(2, 95)",0
"(2, 97)",0
"(2, 98)",1
"(2, 99)",0
"(2, 100)",1
"(2, 101)",1
"(2, 102)",0
"(2, 103)",1
"(2, 106)",1
"(2, 108)",1
"(2, 109)",1
"(2, 110)",0
"(2, 111)",0
"(2, 112)",1
"(2, 114)",1
"(2, 120)",0
"(2, 121)",1
"(2, 124)",1
"(2, 125)",0
"(2, 126)",0
"(2, 127)",1
"(2, 134)",0
"(2, 136)",1
"(2, 137)",1
"(2, 138)",0
"(2, 140)",0
"(2, 141)",1
"(2, 142)",0
"(2, 143)",1
"(2, 144)",1
"(2, 145)",1
"(2, 148)",1
"(2, 149)",1
"(2, 150)",1
"(2, 151)",1
"(2, 153)",0
"(2, 156)",1
"(2, 158)",1
"(2, 160)",0
"(2, 161)",1
"(2, 162)",1
"(2, 164)",0
"(2, 165)",1
"(2, 166)",0
"(2, 167)",0
"(2, 168)",1
"(2, 170)",1
"(2, 171)",0
"(2, 172)",1
"(2, 173)",0
"(2, 176)",0
"(2, 181)",1
"(2, 182)",0
"(2, 185)",1
"(2, 186)",1
"(2, 187)",1
"(2, 188)",0
"(2, 189)",0
"(2, 190)",1
"(2, 191)",0
"(2, 192)",0
"(2, 193)",0
"(2, 194)",0
"(2, 195)",1
"(2, 196)",1
"(2, 197)",1
"(2, 198)",1
"(2, 202)",0
"(2, 203)",0
"(2, 206)",1
"(2, 207)",1
"(2, 208)",0
"(2, 209)",0
"(2, 210)",0
"(2, 213)",1
"(2, 217)",1
"(2, 218)",0
"(2, 219)",0
"(2, 220)",0
"(2, 221)",1
"(2, 222)",0
"(2, 225)",1
"(2, 226)",0
"(2, 227)",0
"(2, 228)",1
"(2, 230)",0
"(2, 231)",1
"(2, 232)",0
"(2, 236)",1
"(2, 237)",0
"(2, 239)",0
"(2, 241)",1
"(2, 242)",1
"(2, 243)",0
"(2, 244)",1
"(2, 247)",0
"(2, 248)",0
"(2, 249)",1
"(2, 250)",0
"(2, 251)",1
"(2, 252)",0
"(2, 253)",0
"(3, 5)",0
"(3, 6)",0
"(3, 7)",1
"(3, 9)",1
"(3, 10)",0
"(3, 11)",1
"(3, 12)",0
"(3, 14)",0
"(3, 15)",0
"(3, 18)",1
"(3, 19)",0
"(3, 21)",0
"(3, 22)",0
"(3, 23)",1
"(3, 25)",1
"(3, 26)",0
"(3, 27)",1
"(3, 28)",0
"(3, 30)",1
"(3, 31)",0
"(3, 33)",1
"(3, 35)",1
"(3, 36)",1
"(3, 37)",1
"(3, 38)",1
"(3, 40)",0
"(3, 41)",0
"(3, 42)",1
"(3, 43)",1
"(3, 44)",1
"(3, 47)",0
"(3, 48)",1
"(3, 49)",1
"(3, 51)",0
"(3, 53)",0
"(3, 54)",0
"(3, 55)",1
"(3, 58)",0
"(3, 59)",0
"(3, 61)",1
"(3, 63)",1
"(3, 64)",0
"(3, 65)",0
"(3, 67)",1
"(3, 68)",0
"(3, 69)",0
"(3, 70)",1
"(3, 72)",1
"(3, 73)",0
"(3, 74)",0
"(3, 75)",1
"(3, 76)",0
"(3, 77)",1
"(3, 78)",1
"(3, 79)",0
"(3, 80)",0
"(3, 81)",0
"(3, 83)",1
"(3, 84)",0
"(3, 86)",0
"(3, 87)",0
"(3, 88)",1
"(3, 89)",1
"(3, 90)",0
"(3, 93)",1
"(3, 94)",1
"(3, 95)",0
"(3, 98)",1
"(3, 99)",0
"(3, 100)",1
"(3, 101)",1
"(3, 102)",0
"(3, 104)",1
"(3, 105)",1
"(3, 106)",1
"(3, 107)",0
"(3, 108)",1
"(3, 110)",0
"(3, 114)",1
"(3, 115)",1
"(3, 116)",0
"(3, 119)",1
"(3, 120)",0
"(3, 122)",1
"(3, 124)",1
"(3, 128)",1
"(3, 129)",1
"(3, 130)",1
"(3, 132)",1
"(3, 134)",0
"(3, 135)",0
"(3, 136)",1
"(3, 138)",0
"(3, 141)",1
"(3, 143)",1
"(3, 144)",1
"(3, 145)",1
"(3, 147)",0
"(3, 148)",1
"(3, 150)",1
"(3, 151)",1
"(3, 152)",1
"(3, 154)",1
"(3, 155)",0
"(3, 156)",1
"(3, 158)",1
"(3, 159)",1
"(3, 161)",1
"(3, 162)",1
"(3, 163)",0
"(3, 164)",0
"(3, 165)",1
"(3, 166)",0
"(3, 167)",0
"(3, 168)",1
"(3, 169)",1
"(3, 171)",0
"(3, 172)",1
"(3, 173)",0
"(3, 176)",0
"(3, 179)",1
"(3, 180)",1
"(3, 181)",1
"(3, 182)",0
"(3, 183)",0
"(3, 185)",1
"(3, 186)",1
"(3, 187)",1
"(3, 188)",0
"(3, 191)",0
"(3, 193)",0
"(3, 194)",0
"(3, 195)",1
"(3, 196)",1
"(3, 197)",1
"(3, 198)",1
"(3, 200)",1
"(3, 202)",0
"(3, 203)",0
"(3, 204)",0
"(3, 205)",1
